"nodegoat ID","Object ID",Name
ngUB8s68gUhM6VhU6V749jrJvUI,12336586,"Diodorus Siculus"
ngWD8u88iYDO0XjA8Wv6jltFxXq,12336588,"Dionysios Periegetes"
ngAH9u28mBnS2BnO2CT06pxNbAO,12336592,Eratosthenes
ngDK9x58pEUVoEqL5DW3psaQeER,12336595,Euripides
ngEL9c68qELW1Fry6F747tbTfGS,12336596,Eusebius
ngDK4D38pEaVqEqH3FW16saAeDR,12345943,Sipylos
ngRY0J58dSYJ9SeF5SA38gomsRF,12336605,Ps-Hesiod
ngUB6C08gUrM0Vhs0U18gjrlvVo,12336560,Anon
ngJQ4J98vLAB9KwF9K073ygWkLX,12150649,"Zenis of Chios"
ngHO4L78tHYZ0IuV7HQ50weyiHb,12150647,"Xanthos the Lydian"
ngGN4K68sGNY9Hta6HP40vdLhGU,12150646,Vitruvius
ngFM4F58rGWX5GsT5F63rucGgGz,12150645,"Vellius Paterculus"
ngDK4D38pEaV5Eqt3E41osaIeDR,12150643,Thucydides
ngBI4F18nCoTlCoz1BU9oqyUcCv,12150641,Theophrastos
ngZG3D98lBQRlAmL9Ay72owEaBN,12150639,Themistagoras
ngYF3C88kAFQlZlY8AR6knvtzAM,12150638,Tacitus
ngWD3A68iWjOiXjW6XF40ltJxXK,12150636,Strabo
ngUB3Y48gVBM4VhY4VN24jrZvWI,12150634,Solon
ngSZ3O28eSpKfTfG2S30dhpjtTm,12150632,Servius
ngRY3N18dReJeSeh1SK94goSsRl,12150631,"Semonides of Amorgos"
ngPW2H98bQcHbQcf9Qo71emUqQD,12150629,"Schol. Lyc. Alexandria"
ngOV2G88aQFGaPbe8QH69dlBpQC,12150628,"Schol. Hom. Od."
ngMT2E68yOTE7NzI6MF4ybjVnNg,12150626,"Schol. Aristoph. Vesp."
ngLS2H58xLCD5MyX5LU3vaiAmMZ,12150625,"Schol. Aristeides"
ngKR2G48wMRC9LxG4KT2vzhblLe,12150624,"Schol. Arat. Phaen."
ngJQ2J38vJQBuKwJ3KS16ygakJd,12150623,"Schol. Apol. Rhod."
ngIP2I28uIfAtJvM2Ih0sxfJjIc,12150622,"Quintus Smyrnaeus"
ngHO2H18tHuZtIuZ1H292weyiHb,12150621,Pseudo-Plutarch
ngEL1A88qGVWoFrM8EN63tbFfFy,12150618,Pseudo-Hesiod
ngDK1Z78pFKVqEqV7FM50saueDx,12150617,"Pomponius Mela"
ngCJ1K68oCzU6DpU6EV48rzHdNQ,12150616,Polybius
ngAH1q48mAxS5BnO4AT29pxNbLO,12150614,Plutarch
ngZG1p38lAQRlAmN3Zy15owOaKN,12150613,"Pliny the Elder"
ngYF1Q28kYPQlZlU2YR06nxjzYC,12150612,Plato
ngXE1P18jXEPhYkv1X296muKyIL,12150611,Pindar
ngSZ0K68eTZKcTfK6TB4ehpntSG,12150606,Phanodikos
ngRY0J58dSoJbSeN5RA35goWsSF,12150605,Pausanias
ngOV0G28aOFG7Pbm2OH04dlLpPC,12150602,Ovid
ngHO9b98tJYZ4IuV9HQ70weUiHV,12150599,Nonnus
ngEL9c68qEbWpFrc6E741tbNfFy,12150596,Nearchos
ngCJ9w48oDJUmDpG4D52mrzbdCw,12150594,Metrodoros
ngAH9u28mBnSkBnq2AJ0npxPbCO,12150592,"Menekrates of Elea"
ngYF9w08kZlQ2ZlK0AR83nvLzZM,12150590,Malakos
ngVC8t78hVsN9WiV7XO5gksWwWp,12150587,Kritias
ngTA8r58fUKL9UgF5Ts39iqouTH,12150585,Konon
ngNU7d98zOUFxOaN9O07yckAoNB,12150579,Hyginus
ngMT7Y88yNzE2NzU8MF61bjdnMg,12150578,"Homeric Hymns"
ngKR7W68wMRC0LxW6K74uzhTlKe,12150576,Hesychios
ngEL7u08qFbW1FrW0E18rtbRfFS,12150570,Hegesippus
ngCJ6s88oDpU0Dpw8EL60rzPdCQ,12150568,Harpokration
ngAH6I68mBRS7BnA6Bz4kpxrbBu,12150566,"Ammianus Marcellinus"
ngXE6F38jYkP7YkT3ZQ14muUyXL,12150563,Agias
ngWD6E28iWNO3XjS2X307ltrxYK,12150562,"Aelius Aristeides"
ngQX8g28cQnI6Rdk2Q30afnDrQE,12042382,Thucydides
ngGN7a28sGNY7HtO2GP0tvdLhGU,12042372,Olympichos
ngHO9b98tJYZtIuZ9JQ73weMiIV,12042299,Homer
