nodegoat ID,Object ID,Name,Region,[GPS Location] Geometry
ngOV5A48aPlG5PlWyPH29dlHpOi,12042254,Phokaia,Ionia,"{""type"": ""Point"", ""coordinates"": [26.752984, 38.6703365]}"
ngWD6E28iWDOhXtAgWF0gltFxXq,12042262,Priene,Ionia,"{""type"": ""Point"", ""coordinates"": [27.298333, 37.66]}"
ngYF6G48kZlQ5ZvQiAH24nvDzAM,12042264,Smyrna,Ionia,"{""type"": ""Point"", ""coordinates"": [27.141386999999998, 38.41719605]}"
ngZG6H58lAwR5AwxjA630owOaZN,12042265,Teichioussa,Karia,"{""type"": ""Point"", ""coordinates"": [27.406511306762695, 37.41693622440293]}"
ngMT7Y88yNzE8NjkwOV6ybjZnNA,12042278,Teos,Ionia,"{""type"": ""Point"", ""coordinates"": [26.785397, 38.185491]}"
ngFM7z18rFcX6GcJpFY9sucGgGz,12042371,Samos,Aegean Islands,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[27.06207275390625, 37.73162487017297], [27.04559326171875, 37.73216792641496], [27.037353515624996, 37.73488314788311], [27.03872680664062, 37.741942257699876], [27.027740478515625, 37.75388691002291], [27.02842712402344, 37.76582963431182], [27.04833984375, 37.769629187677], [27.061386108398445, 37.77505678240509], [27.066879272460934, 37.77885586164994], [27.02156066894531, 37.77668498313053], [27.00439453125, 37.78211205989562], [26.993408203125, 37.78645343442073], [26.987915039062496, 37.79025192793328], [26.99409484863281, 37.79784832917947], [26.982421875, 37.79676317682161], [26.9769287109375, 37.791337175930686], [26.977615356445312, 37.784282779035216], [26.970748901367188, 37.78265474565738], [26.963882446289062, 37.78753873820529], [26.95083618164062, 37.78753873820529], [26.954269409179688, 37.779398571318765], [26.96456909179687, 37.76311554810293], [26.971435546874996, 37.75225820732335], [26.961135864257812, 37.75171529845649], [26.941223144531243, 37.76202988573211], [26.92405700683594, 37.77505678240509], [26.895904541015625, 37.77559951996455], [26.86981201171875, 37.78753873820529], [26.855392456054684, 37.801103690609615], [26.829986572265625, 37.808698976006795], [26.79771423339844, 37.808698976006795], [26.76544189453125, 37.81303878836988], [26.742095947265625, 37.815208598896255], [26.71051025390625, 37.8065289741725], [26.689910888671875, 37.79947602782782], [26.672058105468746, 37.79730575499309], [26.65763854980469, 37.79025192793328], [26.64459228515625, 37.779398571318765], [26.638412475585938, 37.77125750792944], [26.612319946289062, 37.77071473849609], [26.597900390624996, 37.76582963431182], [26.58004760742188, 37.75008654795525], [26.565628051757812, 37.73651223296987], [26.56288146972656, 37.73271097867418], [26.571807861328125, 37.72184917678752], [26.57661437988281, 37.71207219310847], [26.58485412597656, 37.705010235842614], [26.577301025390625, 37.694687703235914], [26.580734252929684, 37.686537320123406], [26.588287353515618, 37.67675567800463], [26.605453491210938, 37.68110323373893], [26.615753173828125, 37.68382032669382], [26.62330627441406, 37.68273350145476], [26.629486083984375, 37.69305769827658], [26.64390563964844, 37.70066408151451], [26.66175842285156, 37.703923721150865], [26.68304443359375, 37.70609673460725], [26.711196899414055, 37.70609673460725], [26.72767639160156, 37.70446698048763], [26.742095947265625, 37.69849090879089], [26.758575439453125, 37.68708070686609], [26.766128540039062, 37.680559803205114], [26.770248413085938, 37.66914684243945], [26.784667968749996, 37.65066499381818], [26.793594360351562, 37.642509774448754], [26.801834106445312, 37.64087862312599], [26.81556701660156, 37.63652871117099], [26.83273315429688, 37.63652871117099], [26.854019165039062, 37.63489742852906], [26.873245239257812, 37.63652871117099], [26.880798339843743, 37.64794668685352], [26.882171630859375, 37.659906493259385], [26.88697814941406, 37.66914684243945], [26.913757324218743, 37.68001636869042], [26.931610107421875, 37.686537320123406], [26.948776245117184, 37.68979758086211], [26.96662902832031, 37.694144372230845], [26.97349548339844, 37.69957750311584], [26.98448181152344, 37.70229391925025], [27.000274658203125, 37.705010235842614], [27.009201049804688, 37.703923721150865], [27.01812744140625, 37.703380457832374], [27.022933959960938, 37.70555348721583], [27.03529357910156, 37.70555348721583], [27.051086425781246, 37.7071832174446], [27.064819335937496, 37.709899354855125], [27.06756591796875, 37.72021976910832], [27.06825256347656, 37.72782336496339], [27.06207275390625, 37.73162487017297]]]}]}"
ngBI1N58nBIT9CyXlC637qyQcMP,12150515,Alexandria,North Africa,"{""type"": ""Point"", ""coordinates"": [29.909773, 31.201435000000004]}"
ngCJ1K68oCzU6DzYmCb49rzPdNQ,12150516,Amaseia,Northern Anatolia,"{""type"": ""Point"", ""coordinates"": [35.82794385, 40.66680835]}"
ngDK1Z78pFKVqEaZnDW5osaueEx,12150517,Amorgos,Aegean Islands,"{""type"": ""Point"", ""coordinates"": [25.9, 36.833333]}"
ngEL1A88qGVWoFbMoEN69tbFfEy,12150518,Antioch on the Orontes,Levant,"{""type"": ""Point"", ""coordinates"": [36.183214, 36.2225515]}"
ngFM1B98rGsXqGcXpGO7qucSgFT,12150519,Apamea,Levant,"{""type"": ""Point"", ""coordinates"": [36.402509, 35.422241]}"
ngGN2C08sHdYqHdCqH18svdDhIU,12150520,Askra,Boiotia,"{""type"": ""Point"", ""coordinates"": [23.074733, 38.326829]}"
