nodegoat ID,Object ID,Name,Traveller Type
ngDK4H38pDKVpEqV3E41nsaueDx,14822743,Sarpedon,Traveller: mythical
ngNU2J78zNUFyOaJ7PG59ckmoOh,14828527,Sicels,Traveller: mythical
ngMT7c88yMjEzNzg8NF6wbjFnMg,14830378,Herakleidai - Dorians,Traveller: mythical
ngRY8D38dTYJbSeJ3R41cgoOsRF,14830383,Dictys of Crete,Author
ngDK1D78pDKV0EqH7EW59saAeFR,14837617,Tryphiodorus,Author
ngTA5B98fUgL1UgP9TC7fiqsuTn,14837659,Ioannis Malalas,Author
ngSZ0K68eSpK6TfA6UB47hpHtUG,14837706,Schedios,
ngHO9b98tIOZ9IuD9JA7tweMiHV,14837999,Cleues,Traveller: mythical
ngMT0E08yNDE4NzM0OF8wbjBnMA,14838000,Malaus,Traveller: mythical
ngPW5B58bPWH7Qcj5P636emCqPD,14844555,Hellenica Oxyrhynchia,Author
ngZG1V38lBQRkAmR3BS17owOaKN,14858713,Antigonus of Karystos,Author
ngLS2H58xLyDyMyH5MU36aiEmLf,14858725,Phlegon of Tralles,Author
ngWD6E28iXtO2Xju2YF0gltXxXq,15041162,Phocos (son of Ornytion),Traveller: mythical
ngRY3N18dRIJ3SeZ1Sq96goEsRF,15138731,Philostratos of Lemnos (major),Author
ngQX0I48cRHIdRdM4SJ24fnRrQk,15140004,Aelian,Author
